Blocs;Fermenter;Species;Time (h);CO2 (g/L);CO2_rate (g/L/h)
Sc vs Ho;F21;Sc;0.28;0;0
Sc vs Ho;F21;Sc;0.61;0;0
Sc vs Ho;F21;Sc;0.94;0;0
Sc vs Ho;F21;Sc;1.28;0.009;0
Sc vs Ho;F21;Sc;1.61;0.018;0.014
Sc vs Ho;F21;Sc;1.94;0;0.015
Sc vs Ho;F21;Sc;2.28;0;0.015
Sc vs Ho;F21;Sc;2.61;0.018;0.01
Sc vs Ho;F21;Sc;2.94;0.027;0.005
Sc vs Ho;F21;Sc;3.28;0.073;0.003
Sc vs Ho;F21;Sc;3.61;0.036;-0.002
Sc vs Ho;F21;Sc;3.94;0.036;-0.002
Sc vs Ho;F21;Sc;4.28;0.009;-0.006
Sc vs Ho;F21;Sc;4.61;0.009;-0.012
Sc vs Ho;F21;Sc;4.94;0.018;-0.02
Sc vs Ho;F21;Sc;5.28;-0.009;-0.014
Sc vs Ho;F21;Sc;5.61;0.045;-0.014
Sc vs Ho;F21;Sc;5.94;0.018;-0.011
Sc vs Ho;F21;Sc;6.28;-0.009;-0.011
Sc vs Ho;F21;Sc;6.61;-0.037;-0.01
Sc vs Ho;F21;Sc;6.94;-0.009;-0.008
Sc vs Ho;F21;Sc;7.28;-0.018;-0.01
Sc vs Ho;F21;Sc;7.61;-0.009;0.002
Sc vs Ho;F21;Sc;7.94;-0.009;0.006
Sc vs Ho;F21;Sc;8.28;-0.009;0.016
Sc vs Ho;F21;Sc;8.61;-0.009;0.014
Sc vs Ho;F21;Sc;8.94;-0.018;0.013
Sc vs Ho;F21;Sc;9.28;0.018;0.013
Sc vs Ho;F21;Sc;9.61;-0.009;0.012
Sc vs Ho;F21;Sc;9.94;0.064;0.009
Sc vs Ho;F21;Sc;10.28;0.018;0.011
Sc vs Ho;F21;Sc;10.61;0.009;0.011
Sc vs Ho;F21;Sc;10.94;0.027;0.007
Sc vs Ho;F21;Sc;11.28;0.018;0.006
Sc vs Ho;F21;Sc;11.61;0.009;0
Sc vs Ho;F21;Sc;11.94;0.046;0.007
Sc vs Ho;F21;Sc;12.28;0.046;0.006
Sc vs Ho;F21;Sc;12.61;0.037;0.007
Sc vs Ho;F21;Sc;12.94;0.028;0.01
Sc vs Ho;F21;Sc;13.28;0.028;0.011
Sc vs Ho;F21;Sc;13.61;0.037;0.009
Sc vs Ho;F21;Sc;13.94;0.037;0.007
Sc vs Ho;F21;Sc;14.28;0.055;0.013
Sc vs Ho;F21;Sc;14.61;0.064;0.012
Sc vs Ho;F21;Sc;14.94;0.064;0.01
Sc vs Ho;F21;Sc;15.28;0.064;0.006
Sc vs Ho;F21;Sc;15.61;0.037;0.006
Sc vs Ho;F21;Sc;15.94;0.083;0.012
Sc vs Ho;F21;Sc;16.28;0.055;0.01
Sc vs Ho;F21;Sc;16.61;0.064;0.014
Sc vs Ho;F21;Sc;16.94;0.055;0.017
Sc vs Ho;F21;Sc;17.28;0.083;0.019
Sc vs Ho;F21;Sc;17.61;0.129;0.018
Sc vs Ho;F21;Sc;17.94;0.074;0.017
Sc vs Ho;F21;Sc;18.28;0.101;0.02
Sc vs Ho;F21;Sc;18.61;0.11;0.02
Sc vs Ho;F21;Sc;18.94;0.11;0.02
Sc vs Ho;F21;Sc;19.28;0.129;0.019
Sc vs Ho;F21;Sc;19.61;0.092;0.028
Sc vs Ho;F21;Sc;19.94;0.157;0.025
Sc vs Ho;F21;Sc;20.28;0.138;0.026
Sc vs Ho;F21;Sc;20.61;0.175;0.034
Sc vs Ho;F21;Sc;20.94;0.147;0.034
Sc vs Ho;F21;Sc;21.28;0.184;0.028
Sc vs Ho;F21;Sc;21.61;0.175;0.018
Sc vs Ho;F21;Sc;21.94;0.193;0.017
Sc vs Ho;F21;Sc;22.28;0.249;0.012
Sc vs Ho;F21;Sc;22.61;0.212;0.018
Sc vs Ho;F21;Sc;22.94;0.175;0.022
Sc vs Ho;F21;Sc;23.28;0.194;0.033
Sc vs Ho;F21;Sc;23.61;0.203;0.041
Sc vs Ho;F21;Sc;23.94;0.212;0.057
Sc vs Ho;F21;Sc;24.28;0.258;0.081
Sc vs Ho;F21;Sc;24.61;0.286;0.1
Sc vs Ho;F21;Sc;24.94;0.333;0.119
Sc vs Ho;F21;Sc;25.28;0.342;0.133
Sc vs Ho;F21;Sc;25.61;0.416;0.145
Sc vs Ho;F21;Sc;25.94;0.453;0.16
Sc vs Ho;F21;Sc;26.28;0.509;0.177
Sc vs Ho;F21;Sc;26.61;0.602;0.194
Sc vs Ho;F21;Sc;27.28;0.695;0.245
Sc vs Ho;F21;Sc;27.61;0.806;0.275
Sc vs Ho;F21;Sc;27.94;0.88;0.303
Sc vs Ho;F21;Sc;28.28;0.973;0.326
Sc vs Ho;F21;Sc;28.61;1.122;0.354
Sc vs Ho;F21;Sc;28.94;1.252;0.377
