Blocs;Fermenter;Species;Time;CO2;Pop_total;Prop_Sc;viability;glucose;fructose;glycerol;acetate;ethanol;alpha;succinate;pyruvate;Ammonium;Alanine;Arginine;Aspartate;Glutamine;Glutamate;Glycine;Histidine;Methionine;Phenylalanine;Serine;Threonine;Tryptophane;Tyrosine;Valine
Sc vs Ho;F22;Ho;0.00;0.00;9.92E+05;0.00;1.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;131.56;138.98;466.32;43.74;471.66;120.46;17.39;40.33;29.41;35.79;74.38;70.72;252.74;18.17;42.23
Sc vs Ho;F22;Ho;5.90;-0.01;9.31E+05;0.00;0.94;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;11.30;-0.01;4.31E+06;0.00;0.98;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;22.40;0.33;5.23E+07;0.00;0.94;79.40;80.2436295;0.26;0.02;3.25;0.01;0.01;0.03;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;33.80;3.57;1.47E+08;0.00;0.94;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;46.50;8.64;1.54E+08;0.00;0.93;87.62;82.8159987;1.70;0.20;12.77;0.00;0.07;0.09;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;59.50;13.62;1.68E+08;0.00;0.87;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;70.90;17.52;1.64E+08;0.00;0.94;77.68;71.051707;3.00;0.44;21.70;0.00;0.16;0.11;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;80.30;20.40;1.73E+08;0.00;0.82;;;;;;;;;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;98.90;25.90;1.66E+08;0.00;0.73;;;;;;;;;66.2858;0.17;53.59;1.51;0.00;1.40;0.75;4.18;0.00;0.00;0.53;0.00;0.00;0.00;0.00
Sc vs Ho;F22;Ho;166.90;36.36;1.74E+08;0.00;0.47;57.62;45.9761923;4.50;0.82;39.61;0.02;0.29;0.10;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;191.20;38.59;1.74E+08;0.00;0.33;60.08;46.85;4.97;0.90;44.60;0.03;0.32;0.12;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;214.80;40.64;1.80E+08;0.00;0.32;58.61;44.62;5.12;0.94;46.36;0.04;0.29;0.11;;;;;;;;;;;;;;;
Sc vs Ho;F22;Ho;239.20;42.56;1.72E+08;0.00;0.38;56.52;41.9950441;5.18;0.96;48.57;0.01;0.35;0.08;;;;;;;;;;;;;;;
